exp_id,mean_diff_rmse_vs_baseline,ttest_pvalue,wilcoxon_pvalue,is_significant_0_05
"model=random_forest|params=n_estimators=40,max_depth=8,min_samples_leaf=2|impute=median|outlier=none|sampling=none|scale=True|target_transform=none",-0.5446637450609572,0.16000944553240642,0.15625,False
"model=random_forest|params=n_estimators=40,max_depth=8,min_samples_leaf=2|impute=median|outlier=none|sampling=none|scale=False|target_transform=none",-0.5425437184801776,0.16119974620206773,0.15625,False
model=ridge|params=alpha=1.0|impute=median|outlier=none|sampling=none|scale=True|target_transform=none,0.0,1.0,1.0,False
