exp_id,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,test_rmse,test_mae,test_r2
model=ridge|params=alpha=1.0|impute=median|outlier=none|sampling=none|scale=True|target_transform=none,0.9448106664250396,0.5794182230829443,0.7485818798177876,0.5144121625908781,-1.2144204403255865,1.0735112051973945,2.01372675129808,1.959881322392793,-16.21759466795114
"model=random_forest|params=n_estimators=40,max_depth=8,min_samples_leaf=2|impute=median|outlier=none|sampling=threshold_weighted|scale=False|target_transform=none",1.0171569422524915,0.39458753026158006,0.8408507625393502,0.32467551735163397,-3.2230805940047444,4.6239249828521976,1.2489428481477247,1.1396876811801329,-5.623027090544322
"model=random_forest|params=n_estimators=40,max_depth=8,min_samples_leaf=2|impute=median|outlier=none|sampling=threshold_weighted|scale=True|target_transform=none",1.0203706204334106,0.39283261550645704,0.8450354687264507,0.32273671267587783,-3.253441846020319,4.645097746148182,1.2512717552901527,1.1427358346797805,-5.647750073013939
"model=random_forest|params=n_estimators=40,max_depth=8,min_samples_leaf=2|impute=median|outlier=none|sampling=none|scale=False|target_transform=none",1.0648430767651793,0.37030358813422193,0.8848124470290788,0.32662667938133044,-3.6908671551247423,5.177987705471353,1.1388683680613738,1.0227534919197554,-4.507042928156826
"model=random_forest|params=n_estimators=40,max_depth=8,min_samples_leaf=2|impute=median|outlier=none|sampling=none|scale=True|target_transform=none",1.0684485937698358,0.35737240317502544,0.8863692077446796,0.31734638711037777,-3.7061180191115377,5.0984095403852425,1.147324236310852,1.0307941833474916,-4.589123887502459
"model=random_forest|params=n_estimators=40,max_depth=8,min_samples_leaf=2|impute=median|outlier=iqr_clip|sampling=none|scale=False|target_transform=none",1.0725626333958656,0.3618186264980751,0.8944070051117438,0.31739394675209737,-3.708934019334027,5.18555038177656,1.1596283046243998,1.0455026185379932,-4.709643796352323
