feature,importance_mean,importance_std
Ore Pulp Flow_lag_3,-1.97405595198763e-05,1.8933690546577703e-06
Ore Pulp Flow_lag_1,-2.3541402574922542e-05,2.1309433047447902e-05
Ore Pulp Flow,-5.5640710728965816e-05,4.0596180424737354e-06
Flotation Column 03 Level_roll_mean_3,-6.451969571710236e-05,3.9923463293441565e-05
Amina Flow_lag_3,-8.655066377585285e-05,1.5532503303615134e-05
Flotation Column 04 Air Flow_lag_1,-0.00010654925379531832,1.3158294754680033e-05
Ore Pulp pH_lag_3,-0.00018084497785344488,2.132528684380461e-05
% Iron Feed_lag_1,-0.00040825277816955994,5.522124050281752e-05
% Iron Feed,-0.00046335329417890314,5.874959486884387e-05
Ore Pulp Flow_roll_mean_3,-0.0005356738275475337,8.656803172920836e-05
Amina Flow,-0.0005839767002733698,5.31544902698046e-05
% Iron Feed_lag_3,-0.0006330485429749011,2.8913309090339043e-05
Flotation Column 05 Air Flow_roll_std_3,-0.0007584460544866279,8.848067979805916e-05
% Silica Feed_lag_3,-0.0009279721417205788,0.00025580634846517807
dayofweek,-0.0012013383328294935,4.0537949551104577e-05
% Silica Feed_roll_mean_3,-0.0020507882270558663,0.00017296888293265352
dayofweek_lag_1,-0.0032923885289555255,0.00014682786681621633
% Silica Feed,-0.0036996311536335647,0.00041220003091633833
Ore Pulp pH_lag_1,-0.0038668204099237434,0.00024334777106745187
hour_lag_1,-0.00460883187068033,0.00013846217431260564
Ore Pulp pH_roll_mean_3,-0.005013258390397635,0.0002778007596649745
hour_lag_3,-0.005024609736061158,0.00021397207973056863
Ore Pulp pH,-0.00523711899211432,0.00025374945035777353
hour_roll_mean_3,-0.007804329134319277,0.00022874411276861646
Amina Flow_roll_mean_3,-0.012628970744486078,0.0012710556156460696
hour,-0.013853963771970613,0.00044460848405428096
